Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
5,2020,5,2,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",3,18
6,2020,5,2,6,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",6,36
7,2020,5,2,7,2,The Willoughbys,Movie,Yes,"Apr 22, 2020",10,66
8,2020,5,2,-,-,All Day and a Night,Movie,Yes,"May 1, 2020",1,3
9,2020,5,2,9,6,Ozark,TV Show,Yes,"Jul 21, 2017",36,246
10,2020,5,2,8,5,Waco,TV Show,No,"Apr 16, 2020",14,71
1,2020,5,3,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",3,29
2,2020,5,3,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",6,52
3,2020,5,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",18,147
4,2020,5,3,4,1,Extraction,Movie,Yes,"Apr 24, 2020",9,80
5,2020,5,3,8,-,All Day and a Night,Movie,Yes,"May 1, 2020",2,9
6,2020,5,3,-,-,Hollywood,TV Show,Yes,"May 1, 2020",1,5
7,2020,5,3,-,-,Den of Thieves,Movie,No,"May 1, 2020",1,4
8,2020,5,3,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",4,21
9,2020,5,3,-,-,The Half of It,Movie,Yes,"May 1, 2020",1,2
10,2020,5,3,6,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",7,37
1,2020,5,4,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",4,39
2,2020,5,4,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",19,156
3,2020,5,4,6,-,Hollywood,TV Show,Yes,"May 1, 2020",2,13
4,2020,5,4,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",3,16
5,2020,5,4,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",7,58
6,2020,5,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",10,85
7,2020,5,4,7,-,Den of Thieves,Movie,No,"May 1, 2020",2,8
8,2020,5,4,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",5,24
9,2020,5,4,10,7,The Last Kingdom,TV Show,No,"Jul 10, 2016",8,39
10,2020,5,4,9,-,The Half of It,Movie,Yes,"May 1, 2020",2,3
1,2020,5,5,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",20,166
2,2020,5,5,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",5,48
3,2020,5,5,3,-,Hollywood,TV Show,Yes,"May 1, 2020",3,21
4,2020,5,5,5,6,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",8,65
5,2020,5,5,4,-,All Day and a Night,Movie,Yes,"May 1, 2020",4,22
6,2020,5,5,7,-,Den of Thieves,Movie,No,"May 1, 2020",3,13
7,2020,5,5,6,1,Extraction,Movie,Yes,"Apr 24, 2020",11,89
8,2020,5,5,-,-,Arctic Dogs,Movie,No,"May 4, 2020",1,3
9,2020,5,5,9,3,The Last Kingdom,TV Show,No,"Jul 10, 2016",9,41
10,2020,5,5,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",6,25
1,2020,5,6,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",21,176
2,2020,5,6,3,-,Hollywood,TV Show,Yes,"May 1, 2020",4,30
3,2020,5,6,8,-,Arctic Dogs,Movie,No,"May 4, 2020",2,11
4,2020,5,6,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",6,55
5,2020,5,6,4,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",9,71
6,2020,5,6,-,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",1,5
7,2020,5,6,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",5,26
8,2020,5,6,6,-,Den of Thieves,Movie,No,"May 1, 2020",4,16
9,2020,5,6,7,1,Extraction,Movie,Yes,"Apr 24, 2020",12,91
10,2020,5,6,9,4,The Last Kingdom,TV Show,No,"Jul 10, 2016",10,42
1,2020,5,7,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",22,186
2,2020,5,7,2,-,Hollywood,TV Show,Yes,"May 1, 2020",5,39
3,2020,5,7,6,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",2,13
4,2020,5,7,5,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",10,78
5,2020,5,7,-,-,Becoming,Movie,Yes,"May 6, 2020",1,6
6,2020,5,7,4,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",7,60
7,2020,5,7,-,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",1,4
8,2020,5,7,3,-,Arctic Dogs,Movie,No,"May 4, 2020",3,14
9,2020,5,7,8,-,Den of Thieves,Movie,No,"May 1, 2020",5,18
10,2020,5,7,7,-,All Day and a Night,Movie,Yes,"May 1, 2020",6,27
1,2020,5,8,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",23,196
2,2020,5,8,2,-,Hollywood,TV Show,Yes,"May 1, 2020",6,48
3,2020,5,8,5,-,Becoming,Movie,Yes,"May 6, 2020",2,14
4,2020,5,8,7,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",2,11
5,2020,5,8,3,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",3,19
6,2020,5,8,4,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",11,83
7,2020,5,8,9,-,Den of Thieves,Movie,No,"May 1, 2020",6,22
8,2020,5,8,8,-,Arctic Dogs,Movie,No,"May 4, 2020",4,17
9,2020,5,8,6,2,Dangerous Lies,Movie,Yes,"Apr 30, 2020",8,62
10,2020,5,8,-,9,Ozark,TV Show,Yes,"Jul 21, 2017",37,247
1,2020,5,9,-,-,Dead to Me,TV Show,Yes,"May 3, 2019",1,10
2,2020,5,9,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",24,205
3,2020,5,9,2,-,Hollywood,TV Show,Yes,"May 1, 2020",7,56
4,2020,5,9,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",3,18
5,2020,5,9,3,-,Becoming,Movie,Yes,"May 6, 2020",3,20
6,2020,5,9,-,-,Sleepless,Movie,No,"May 9, 2020",1,5
7,2020,5,9,6,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",12,87
8,2020,5,9,5,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",4,22
9,2020,5,9,7,-,Den of Thieves,Movie,No,"May 1, 2020",7,24
10,2020,5,9,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",15,88
1,2020,5,10,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",2,20
2,2020,5,10,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",25,214
3,2020,5,10,6,-,Sleepless,Movie,No,"May 9, 2020",2,13
4,2020,5,10,3,6,Hollywood,TV Show,Yes,"May 1, 2020",8,63
5,2020,5,10,5,-,Becoming,Movie,Yes,"May 6, 2020",4,26
6,2020,5,10,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",4,23
7,2020,5,10,9,7,Den of Thieves,Movie,No,"May 1, 2020",8,28
8,2020,5,10,8,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",5,25
9,2020,5,10,-,4,Extraction,Movie,Yes,"Apr 24, 2020",13,93
10,2020,5,10,7,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",13,88
1,2020,5,11,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",3,30
2,2020,5,11,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",26,223
3,2020,5,11,-,-,John Henry,Movie,No,"May 9, 2020",1,8
4,2020,5,11,3,-,Sleepless,Movie,No,"May 9, 2020",3,20
5,2020,5,11,4,3,Hollywood,TV Show,Yes,"May 1, 2020",9,69
6,2020,5,11,5,-,Becoming,Movie,Yes,"May 6, 2020",5,31
7,2020,5,11,9,6,Extraction,Movie,Yes,"Apr 24, 2020",14,97
8,2020,5,11,7,7,Den of Thieves,Movie,No,"May 1, 2020",9,31
9,2020,5,11,6,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",5,25
10,2020,5,11,-,-,Ozark,TV Show,Yes,"Jul 21, 2017",38,248
1,2020,5,12,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",4,40
2,2020,5,12,3,-,John Henry,Movie,No,"May 9, 2020",2,17
3,2020,5,12,2,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",27,231
4,2020,5,12,4,-,Sleepless,Movie,No,"May 9, 2020",4,27
5,2020,5,12,5,3,Hollywood,TV Show,Yes,"May 1, 2020",10,75
6,2020,5,12,-,-,Greyâs Anatomy,TV Show,No,"Sep 15, 2014",1,5
7,2020,5,12,10,-,Ozark,TV Show,Yes,"Jul 21, 2017",39,252
8,2020,5,12,9,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",6,28
9,2020,5,12,-,4,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",14,90
10,2020,5,12,-,9,The Last Kingdom,TV Show,No,"Jul 10, 2016",11,43
1,2020,5,13,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",5,50
2,2020,5,13,2,-,John Henry,Movie,No,"May 9, 2020",3,26
3,2020,5,13,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",28,239
4,2020,5,13,4,-,Sleepless,Movie,No,"May 9, 2020",5,34
5,2020,5,13,-,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",1,6
6,2020,5,13,6,-,Greyâs Anatomy,TV Show,No,"Sep 15, 2014",2,10
7,2020,5,13,-,-,Trial by Media,TV Show,Yes,"May 11, 2020",1,4
8,2020,5,13,5,2,Hollywood,TV Show,Yes,"May 1, 2020",11,78
9,2020,5,13,7,-,Ozark,TV Show,Yes,"Jul 21, 2017",40,254
10,2020,5,13,-,-,House at the End of the Street,Movie,No,"May 8, 2013",1,1
1,2020,5,14,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",6,60
2,2020,5,14,-,-,The Wrong Missy,Movie,Yes,"May 13, 2020",1,9
3,2020,5,14,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",29,247
4,2020,5,14,2,-,John Henry,Movie,No,"May 9, 2020",4,33
5,2020,5,14,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",2,10
6,2020,5,14,5,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",2,11
7,2020,5,14,6,-,Greyâs Anatomy,TV Show,No,"Sep 15, 2014",3,14
8,2020,5,14,4,-,Sleepless,Movie,No,"May 9, 2020",6,37
9,2020,5,14,9,-,Ozark,TV Show,Yes,"Jul 21, 2017",41,256
10,2020,5,14,8,2,Hollywood,TV Show,Yes,"May 1, 2020",12,79
1,2020,5,15,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",2,19
2,2020,5,15,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",7,69
3,2020,5,15,-,-,Riverdale,TV Show,No,"May 19, 2017",1,8
4,2020,5,15,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",30,254
5,2020,5,15,4,-,John Henry,Movie,No,"May 9, 2020",5,39
6,2020,5,15,5,-,Trial by Media,TV Show,Yes,"May 11, 2020",3,15
7,2020,5,15,7,-,Greyâs Anatomy,TV Show,No,"Sep 15, 2014",4,18
8,2020,5,15,9,10,Ozark,TV Show,Yes,"Jul 21, 2017",42,259
9,2020,5,15,6,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",3,13
10,2020,5,15,10,2,Hollywood,TV Show,Yes,"May 1, 2020",13,80
1,2020,5,16,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",3,29
2,2020,5,16,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",8,78
3,2020,5,16,3,-,Riverdale,TV Show,No,"May 19, 2017",2,16
4,2020,5,16,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",31,261
5,2020,5,16,-,-,White Lines,TV Show,Yes,"May 15, 2020",1,6
6,2020,5,16,5,-,John Henry,Movie,No,"May 9, 2020",6,44
7,2020,5,16,6,-,Trial by Media,TV Show,Yes,"May 11, 2020",4,19
8,2020,5,16,7,-,Greyâs Anatomy,TV Show,No,"Sep 15, 2014",5,21
9,2020,5,16,8,-,Ozark,TV Show,Yes,"Jul 21, 2017",43,261
10,2020,5,16,9,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",4,14
1,2020,5,17,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",4,39
2,2020,5,17,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",9,87
3,2020,5,17,3,-,Riverdale,TV Show,No,"May 19, 2017",3,24
4,2020,5,17,5,-,White Lines,TV Show,Yes,"May 15, 2020",2,13
5,2020,5,17,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",32,267
6,2020,5,17,-,-,Public Enemies,Movie,No,"May 16, 2020",1,5
7,2020,5,17,6,-,John Henry,Movie,No,"May 9, 2020",7,48
8,2020,5,17,-,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",1,3
9,2020,5,17,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",5,21
10,2020,5,17,10,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",5,15
1,2020,5,18,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",5,49
2,2020,5,18,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",10,96
3,2020,5,18,3,-,Riverdale,TV Show,No,"May 19, 2017",4,32
4,2020,5,18,6,-,Public Enemies,Movie,No,"May 16, 2020",2,12
5,2020,5,18,4,-,White Lines,TV Show,Yes,"May 15, 2020",3,19
6,2020,5,18,5,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",33,272
7,2020,5,18,-,-,Soul Surfer,Movie,No,"May 17, 2020",1,4
8,2020,5,18,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",2,6
9,2020,5,18,7,3,John Henry,Movie,No,"May 9, 2020",8,50
10,2020,5,18,9,-,Trial by Media,TV Show,Yes,"May 11, 2020",6,22
1,2020,5,19,-,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",1,10
2,2020,5,19,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",6,58
3,2020,5,19,3,-,Riverdale,TV Show,No,"May 19, 2017",5,40
4,2020,5,19,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",11,103
5,2020,5,19,7,-,Soul Surfer,Movie,No,"May 17, 2020",2,10
6,2020,5,19,5,-,White Lines,TV Show,Yes,"May 15, 2020",4,24
7,2020,5,19,6,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",34,276
8,2020,5,19,4,-,Public Enemies,Movie,No,"May 16, 2020",3,15
9,2020,5,19,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",3,8
10,2020,5,19,-,7,Ozark,TV Show,Yes,"Jul 21, 2017",44,262
1,2020,5,20,1,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",2,20
2,2020,5,20,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",7,67
3,2020,5,20,3,-,Riverdale,TV Show,No,"May 19, 2017",6,48
4,2020,5,20,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",12,110
5,2020,5,20,-,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",1,6
6,2020,5,20,6,-,White Lines,TV Show,Yes,"May 15, 2020",5,29
7,2020,5,20,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",35,280
8,2020,5,20,5,-,Soul Surfer,Movie,No,"May 17, 2020",3,13
9,2020,5,20,8,-,Public Enemies,Movie,No,"May 16, 2020",4,17
10,2020,5,20,9,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",4,9
1,2020,5,21,1,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",3,30
2,2020,5,21,5,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",2,15
3,2020,5,21,3,-,Riverdale,TV Show,No,"May 19, 2017",7,56
4,2020,5,21,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",13,117
5,2020,5,21,2,2,The Wrong Missy,Movie,Yes,"May 13, 2020",8,73
6,2020,5,21,-,-,The Flash,TV Show,No,"Oct 6, 2015",1,5
7,2020,5,21,6,-,White Lines,TV Show,Yes,"May 15, 2020",6,33
8,2020,5,21,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",36,283
9,2020,5,21,8,-,Soul Surfer,Movie,No,"May 17, 2020",4,15
10,2020,5,21,9,-,Public Enemies,Movie,No,"May 16, 2020",5,18
1,2020,5,22,1,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",4,40
2,2020,5,22,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",3,24
3,2020,5,22,3,3,Riverdale,TV Show,No,"May 19, 2017",8,64
4,2020,5,22,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",14,124
5,2020,5,22,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",9,79
6,2020,5,22,6,-,The Flash,TV Show,No,"Oct 6, 2015",2,10
7,2020,5,22,7,-,White Lines,TV Show,Yes,"May 15, 2020",7,37
8,2020,5,22,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",37,286
9,2020,5,22,9,-,Soul Surfer,Movie,No,"May 17, 2020",5,17
10,2020,5,22,10,-,Public Enemies,Movie,No,"May 16, 2020",6,19
1,2020,5,23,1,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",5,50
2,2020,5,23,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",4,33
3,2020,5,23,-,-,The Lovebirds,Movie,Yes,"May 22, 2020",1,8
4,2020,5,23,3,3,Riverdale,TV Show,No,"May 19, 2017",9,71
5,2020,5,23,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",15,130
6,2020,5,23,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",10,84
7,2020,5,23,6,-,The Flash,TV Show,No,"Oct 6, 2015",3,14
8,2020,5,23,7,5,White Lines,TV Show,Yes,"May 15, 2020",8,40
9,2020,5,23,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",38,288
10,2020,5,23,-,-,Just Go With It,Movie,No,"May 22, 2020",1,1
1,2020,5,24,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",5,43
2,2020,5,24,1,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",6,59
3,2020,5,24,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",2,16
4,2020,5,24,6,1,The Wrong Missy,Movie,Yes,"May 13, 2020",11,91
5,2020,5,24,10,-,Just Go With It,Movie,No,"May 22, 2020",2,7
6,2020,5,24,5,2,Dead to Me,TV Show,Yes,"May 3, 2019",16,135
7,2020,5,24,7,-,The Flash,TV Show,No,"Oct 6, 2015",4,18
8,2020,5,24,4,3,Riverdale,TV Show,No,"May 19, 2017",10,74
9,2020,5,24,8,4,White Lines,TV Show,Yes,"May 15, 2020",9,42
10,2020,5,24,9,5,Outer Banks,TV Show,Yes,"Apr 15, 2020",39,289
1,2020,5,25,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",6,53
2,2020,5,25,2,-,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",7,68
3,2020,5,25,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",3,24
4,2020,5,25,4,1,The Wrong Missy,Movie,Yes,"May 13, 2020",12,98
5,2020,5,25,5,-,Just Go With It,Movie,No,"May 22, 2020",3,13
6,2020,5,25,6,2,Dead to Me,TV Show,Yes,"May 3, 2019",17,140
7,2020,5,25,7,-,The Flash,TV Show,No,"Oct 6, 2015",5,22
8,2020,5,25,-,-,History 101,TV Show,Yes,"May 22, 2020",1,3
9,2020,5,25,8,3,Riverdale,TV Show,No,"May 19, 2017",11,76
10,2020,5,25,9,5,White Lines,TV Show,Yes,"May 15, 2020",10,43
1,2020,5,26,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",7,63
2,2020,5,26,2,1,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",8,77
3,2020,5,26,-,-,Uncut Gems,Movie,No,"May 25, 2020",1,8
4,2020,5,26,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",4,31
5,2020,5,26,8,-,History 101,TV Show,Yes,"May 22, 2020",2,9
6,2020,5,26,5,-,Just Go With It,Movie,No,"May 22, 2020",4,18
7,2020,5,26,4,2,The Wrong Missy,Movie,Yes,"May 13, 2020",13,102
8,2020,5,26,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",18,143
9,2020,5,26,9,3,Riverdale,TV Show,No,"May 19, 2017",12,78
10,2020,5,26,7,-,The Flash,TV Show,No,"Oct 6, 2015",6,23
1,2020,5,27,3,-,Uncut Gems,Movie,No,"May 25, 2020",2,18
2,2020,5,27,1,5,Sweet Magnolias,TV Show,Yes,"May 19, 2020",8,72
3,2020,5,27,2,1,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",9,85
4,2020,5,27,5,-,History 101,TV Show,Yes,"May 22, 2020",3,16
5,2020,5,27,6,-,Just Go With It,Movie,No,"May 22, 2020",5,24
6,2020,5,27,8,4,Dead to Me,TV Show,Yes,"May 3, 2019",19,148
7,2020,5,27,9,3,Riverdale,TV Show,No,"May 19, 2017",13,82
8,2020,5,27,4,-,The Lovebirds,Movie,Yes,"May 22, 2020",5,34
9,2020,5,27,10,-,The Flash,TV Show,No,"Oct 6, 2015",7,25
10,2020,5,27,7,2,The Wrong Missy,Movie,Yes,"May 13, 2020",14,103
1,2020,5,28,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",1,10
2,2020,5,28,1,-,Uncut Gems,Movie,No,"May 25, 2020",3,27
3,2020,5,28,2,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",9,80
4,2020,5,28,3,1,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",10,92
5,2020,5,28,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",20,154
6,2020,5,28,7,3,Riverdale,TV Show,No,"May 19, 2017",14,87
7,2020,5,28,4,-,History 101,TV Show,Yes,"May 22, 2020",4,20
8,2020,5,28,5,-,Just Go With It,Movie,No,"May 22, 2020",6,27
9,2020,5,28,9,6,The Flash,TV Show,No,"Oct 6, 2015",8,27
10,2020,5,28,8,-,The Lovebirds,Movie,Yes,"May 22, 2020",6,35
1,2020,5,29,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",2,20
2,2020,5,29,2,-,Uncut Gems,Movie,No,"May 25, 2020",4,36
3,2020,5,29,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",10,88
4,2020,5,29,4,1,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",11,99
5,2020,5,29,5,4,Dead to Me,TV Show,Yes,"May 3, 2019",21,160
6,2020,5,29,6,3,Riverdale,TV Show,No,"May 19, 2017",15,92
7,2020,5,29,7,-,History 101,TV Show,Yes,"May 22, 2020",5,24
8,2020,5,29,9,6,The Flash,TV Show,No,"Oct 6, 2015",9,30
9,2020,5,29,8,-,Just Go With It,Movie,No,"May 22, 2020",7,29
10,2020,5,29,-,8,Outer Banks,TV Show,Yes,"Apr 15, 2020",40,290
1,2020,5,30,-,-,Space Force,TV Show,Yes,"May 29, 2020",1,10
2,2020,5,30,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",3,29
3,2020,5,30,2,-,Uncut Gems,Movie,No,"May 25, 2020",5,44
4,2020,5,30,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",11,95
5,2020,5,30,4,1,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",12,105
6,2020,5,30,5,5,Dead to Me,TV Show,Yes,"May 3, 2019",22,165
7,2020,5,30,6,4,Riverdale,TV Show,No,"May 19, 2017",16,96
8,2020,5,30,8,7,The Flash,TV Show,No,"Oct 6, 2015",10,33
9,2020,5,30,9,10,Just Go With It,Movie,No,"May 22, 2020",8,31
10,2020,5,30,7,-,History 101,TV Show,Yes,"May 22, 2020",6,25
1,2020,5,31,1,-,Space Force,TV Show,Yes,"May 29, 2020",2,20
2,2020,5,31,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",4,38
3,2020,5,31,3,-,Uncut Gems,Movie,No,"May 25, 2020",6,52
4,2020,5,31,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",12,102
5,2020,5,31,5,2,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",13,111
6,2020,5,31,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",23,170
7,2020,5,31,9,5,Just Go With It,Movie,No,"May 22, 2020",9,35
8,2020,5,31,7,8,Riverdale,TV Show,No,"May 19, 2017",17,99
9,2020,5,31,8,7,The Flash,TV Show,No,"Oct 6, 2015",11,35
10,2020,5,31,10,-,History 101,TV Show,Yes,"May 22, 2020",7,26
1,2020,6,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",3,30
2,2020,6,1,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",5,47
3,2020,6,1,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",13,110
4,2020,6,1,3,-,Uncut Gems,Movie,No,"May 25, 2020",7,59
5,2020,6,1,5,2,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",14,117
6,2020,6,1,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",24,175
7,2020,6,1,8,9,Riverdale,TV Show,No,"May 19, 2017",18,103
8,2020,6,1,7,5,Just Go With It,Movie,No,"May 22, 2020",10,38
9,2020,6,1,10,8,History 101,TV Show,Yes,"May 22, 2020",8,28
10,2020,6,1,9,7,The Flash,TV Show,No,"Oct 6, 2015",12,36
1,2020,6,2,1,-,Space Force,TV Show,Yes,"May 29, 2020",4,40
2,2020,6,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",6,56
3,2020,6,2,3,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",14,118
4,2020,6,2,5,2,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",15,124
5,2020,6,2,4,3,Uncut Gems,Movie,No,"May 25, 2020",8,65
6,2020,6,2,7,9,Riverdale,TV Show,No,"May 19, 2017",19,108
7,2020,6,2,6,8,Dead to Me,TV Show,Yes,"May 3, 2019",25,179
8,2020,6,2,-,-,The Healer,Movie,No,"Jun 1, 2020",1,3
9,2020,6,2,10,10,The Flash,TV Show,No,"Oct 6, 2015",13,38
10,2020,6,2,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",41,291
1,2020,6,3,1,-,Space Force,TV Show,Yes,"May 29, 2020",5,50
2,2020,6,3,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",7,65
3,2020,6,3,-,-,Fuller House,TV Show,Yes,"Feb 26, 2016",1,8
4,2020,6,3,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",15,125
5,2020,6,3,4,3,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",16,130
6,2020,6,3,8,-,The Healer,Movie,No,"Jun 1, 2020",2,8
7,2020,6,3,-,-,The Help,Movie,No,"Jun 1, 2020",1,4
8,2020,6,3,-,-,Clueless,Movie,No,"Jan 1, 2014",1,3
9,2020,6,3,5,1,Uncut Gems,Movie,No,"May 25, 2020",9,67
10,2020,6,3,6,7,Riverdale,TV Show,No,"May 19, 2017",20,109
